ner_synonym,ner_name,qid_wikidata
Минобороны Россия,Минобороны России,
Азовстали,Азовсталь,
Мосбиржи,Московская биржа,Q2632892
ВС РФ,ВС РФ,Q193159
Запорожская области,Запорожская область,
Херсонская области,Херсонская область,
Пелось,Пелоси,
День Победа,День Победы,
МИД Китай,МИД Китая,
МИД Франция,МИД Франции,
Фобося,Фобос,
МВД Россия,МВД России,
МИД Турция,МИД Турции,
Мосбиржа,Московская биржа,Q2632892
Северные потоках,Северный поток,
РИА Новости Гинцбург,Гинцбург,
МИД Венгрия,МИД Венгрии,
Мелитополе,Мелитополь,
Шолец,Олаф Шольц,
РИА Новости Песков,Песков,
Энергодара,Энергодар,
Герой Россия,Герой России,
МИД ДНР,МИД ДНР,
МИД Украина,МИД Украины,
ВКС Россия,ВКС России,
МИД Британия,МИД Британии,
СМИ-иноагентов,СМИ-иноагент,
ЦБ Украина,ЦБ Украины,
МИД Польша,МИД Польшы,
МЧС Россия,МЧС России,
Минобороны Белоруссия,Минобороны Белоруссии,
МИД Германия,МИД Германии,
Минфин Россия,Минфин России,
Бессмертный полок,Бессмертный полок,
МИД Латвия,МИД Латвии,
Совбез РФ,Совбез РФ,
Минпросвещения Россия,Минпросвещения России,
Дугиной,Дарья Дугина,
теракт на Крымский мост,Крымский мост,
Минобороны Турция,Минобороны Турции,
КГБ Белоруссия,КГБ Белоруссии,
Минобороны Украина,Минобороны Украины,
Госуслугах,Госуслуги,
МИД Австрия,МИД Австрии,
МИД Италия,МИД Италии,
МВД ЛНР,МВД ЛНР,
Эхо Москва,Эхо Москвы,
Парламент Украина,Парламент Украины,
ГУМВД,ГУМВД,
Палата представители,Палата представителей США,
Банк Англия,Банк Англии,
парад Победа,парад Победы,
МВД Британия,МВД Британии,
МВД Украина,МВД Украины,
МИД Армения,МИД Армении,
Нидерландах,Нидерланды,
Новофедоровке,Новофедоровка,
Черниговская области,Черниговская область,
Минцифры Россия,Минцифры России,
Минобрнауки Россия,Минобрнауки России,
Госдума Горелкин,Горелкин,
спецоперация на Украина,Спецоперация на Украине,Q115134884
Шри-Ланке,Шри-Ланка,
Лига чемпионы,Лига чемпионов,
СНБО Украина,СНБО Украины,
МИД Узбекистан,МИД Узбекистана,
Росгвардии,Росгвардия,
Международный расчетный банк,Международный расчетный банк,
Минобороны Молдавия,Минобороны Молдавии,
Совет Европа,Совет Европы,
СК Белоруссия,СК Белоруссии,
Минздрав Россия,Минздрав России,
Почта Россия,Почта России,
ФРС США,ФРС США,
Украинские железные дороги,Украинские железные дороги,
Харьковская области,Харьковская область,
Днепропетровская области,Днепропетровская область,
Госбюро расследования,Госбюро расследований,
Афинах,Афины,
Минстрой Россия,Минстрой России,
Национальное бюро кредитные истории,Национальное бюро кредитных историй,
Генпрокуратура Украина,Генпрокуратура Украины,
чемпионат Россия,Чемпионат России,
Минобороны Германия,Минобороны Германии,
Минсельхоз Россия,Минсельхоз России,
МИД Греция,МИД Греции,
Лаборатория Касперский,Лаборатория Касперского,
МВД Белоруссия,МВД Белоруссии,
Служба безопасность Украина,СБ Украины,Q615811
Служба безопасность,Служба безопасности,
Луганская области,Луганская область,
Байрактаров,Байрактар,
Центробанк Россия,Центробанк России,
Дерипаски,Дерипаска,
Совет безопасность,Совет безопасности,
МИД Белоруссия,МИД Белоруссии,
дело Навальный,Навальный,
СК Россия,СК России,
Договор по открытое небу,Договор по открытому небу,
Минтруда,Минтруд России,
Совфедя,Совет Федерации,
РИА Новости Вильфанд,Вильфанд,
Союз журналисты,Союз журналистов,
Минобороны Армения,Минобороны Армении,
Армянское минобороны,Армянское минобороны,
Палата представители США,Палата представителей США,
Центр Гамалея,Центр Гамалеи,
МИД Литва,МИД Литвы,
Договор по открытое небо,Договор по открытому небу,
Курилах,Курилы,
Химках,Химки,
Мытищах,Мытищи,
парад Победа в Москва,парад Победы,
Союз журналисты Россия,Союз журналистов,
ВМФ Россия,ВМФ России,
"""Листвяжной""",Шахта Листвяжная,
ЦИК Россия,ЦИК России,
Минздрав Белоруссия,Минздрав Белоруссии,
Совет Федерация,Совет Федерации,
Калининградские,Калининград,
МИД Чехия,МИД Чехии,
МИД Россия,МИД России,
Ассоциация туроператоры Россия,Ассоциация туроператоров России,
СБ Украина,СБ Украины,Q615811
Постпреды,Постпред,
"""Невская мануфактура""",Невская мануфактура,
Валиевой,Валиева,
ЦИК Белоруссия,ЦИК Белоруссии,
Минэнерго Россия,Минэнерго России,
Коммунисты Россия,Коммунисты России,
Марадоны,Марадона,
Кабмин Украина,Кабмин Украины,
Офис Зеленский,Офис Зеленского,
Центр подготовка космонавты,Центр подготовки космонавтов,
75-летие Победа,75-летие Победы,
Илона Маска,Илона Маск,
МВД Германия,МВД Германии,
центр Гамалеи,Центр Гамалеи,
Погранслужба,Погранслужба,
Скрипалей,Скрипали,
Мосбирже,Московская биржа,Q2632892
храм Христос Спаситель,Храм Христа Спасителя,
Коммунарке Проценко,Коммунарка Проценко,
Минздрав Украина,Минздрав Украины,
День Россия,День России,
ВС Украина,ВС Украины,
СНБ Армения,СНБ Армении,
Лужниках,Лужники,
Справедливая Россия - За правда,Справедливая Россия,
чемпионат Россия по футбол,Чемпионат России по футболу,
Генштаб ВС РФ,Генштаб ВС РФ,
МИД Сирия,МИД Сирии,
европейская часть Россия,Европейская часть России,
Голос Америка,Голос Америки,
Ким Чен Ына,Ким Чен Ын,
Центр Гамалеи,Центр Гамалеи,
гимн Россия,Гимн России,
центр Гамалея,Центр Гамалеи,
ВВС Норвегия,ВВС Норвегии,
ЦИК Киргизия,ЦИК Киргизии,
СПЧ ООН,СПЧ ООН,
МИД Киргизия,МИД Киргизии,
Люберцах,Люберцы,
Лига арабские государства,Лига арабских государств,
Северный потока-2,Северный поток-2,
МИД Израиль,МИД Израиля,
Парламент Молдавия,Парламент Молдавии,
МВД Казахстан,МВД Казахстана,
Раковой,Ракова,
Генпрокуратура Россия,Генпрокуратура России,
Минздрав Мурашко,Мурашко,
Кубок Россия по футбол,Кубок России,Q326160
Кубок Россия,Кубок России,Q326160
Тихановскую,Тихановская,
ФСБ Россия,ФСБ России,
Харьковом,Харьков,
ВС Армения,ВС Армении,
Рязанью,Рязань,
МВД Грузия,МВД Грузии,
