source,target,name
DPA,Тайвань,1 news
Flightradar,Тайвань,1 news
G7,Китай,1 news
G7,МИД,1 news
G7,МИД Китая,1 news
G7,Тайвань,1 news
Washington Post,Пелоси,1 news
Washington Post,США,1 news
Washington Post,Тайвань,1 news
Азия,Белый дом,1 news
Азия,Пелоси,1 news
Азия,США,1 news
Азия,Тайвань,1 news
Армия Китай,Китай,1 news
Армия Китай,Тайвань,1 news
Белый дом,Китай,2-4 news
Белый дом,Пекин,1 news
Белый дом,Пелоси,2-4 news
Белый дом,США,1 news
Белый дом,Тайвань,2-4 news
Боррель,Пелоси,1 news
Боррель,Тайвань,1 news
Боррель,Тайваньский пролив,1 news
ВМС,ВМС Китай,1 news
ВМС,Китай,1 news
ВМС,Нитипхумтханат Минг-Ручиралай,1 news
ВМС,Пелоси,1 news
ВМС,РИА Новости,1 news
ВМС,США,1 news
ВМС,Тайвань,1 news
ВМС Китай,Китай,1 news
ВМС Китай,Нитипхумтханат Минг-Ручиралай,1 news
ВМС Китай,Пелоси,1 news
ВМС Китай,РИА Новости,1 news
ВМС Китай,США,1 news
ВМС Китай,Тайвань,1 news
ВС,ВС Тайвань,1 news
ВС,Тайвань,1 news
ВС Тайвань,Тайвань,1 news
Вашингтон,Тайбэя,1 news
Вашингтон,Тайвань,1 news
Европа,Пелоси,1 news
Европа,США,1 news
Европа,Тайвань,1 news
Китай,Китай,2-4 news
Китай,МИД,5-9 news
Китай,МИД КНР,2-4 news
Китай,МИД Китая,5-9 news
Китай,МИД России,1 news
Китай,Народно-освободительная армия,1 news
Китай,Народно-освободительная армия Китай,1 news
Китай,Нитипхумтханат Минг-Ручиралай,1 news
Китай,Пекин,1 news
Китай,Пелоси,5-9 news
Китай,РИА Новости,1 news
Китай,Россия,2-4 news
Китай,США,2-4 news
Китай,Тайвань,>=10 news
Китайская таможня,Тайвань,1 news
Литва,Тайвань,1 news
МИД,МИД КНР,2-4 news
МИД,МИД Китая,2-4 news
МИД,МИД России,2-4 news
МИД,Пелоси,5-9 news
МИД,Россия,2-4 news
МИД,США,2-4 news
МИД,Тайвань,5-9 news
МИД КНР,Пелоси,1 news
МИД КНР,США,1 news
МИД КНР,Тайвань,2-4 news
МИД Китая,Пелоси,2-4 news
МИД Китая,Тайвань,2-4 news
МИД России,Пелоси,2-4 news
МИД России,Россия,2-4 news
МИД России,США,2-4 news
МИД России,Тайвань,2-4 news
Медведев,Пелоси,1 news
Медведев,Тайвань,1 news
Народно-освободительная армия,Народно-освободительная армия Китай,1 news
Народно-освободительная армия,Тайвань,1 news
Народно-освободительная армия Китай,Тайвань,1 news
Нитипхумтханат Минг-Ручиралай,Пелоси,1 news
Нитипхумтханат Минг-Ручиралай,РИА Новости,1 news
Нитипхумтханат Минг-Ручиралай,США,1 news
Нитипхумтханат Минг-Ручиралай,Тайвань,1 news
Нэнси Пелось,Тайвань,1 news
ПВО,Тайвань,2-4 news
Пекин,Тайвань,2-4 news
Пелоси,Путин,1 news
Пелоси,РИА Новости,1 news
Пелоси,Россия,2-4 news
Пелоси,США,5-9 news
Пелоси,Тайвань,>=10 news
Пелоси,Тайваньский пролив,1 news
Пентагон,США,1 news
Пентагон,Тайвань,1 news
Путин,Тайвань,1 news
РИА Новости,США,1 news
РИА Новости,Тайвань,2-4 news
Россия,США,2-4 news
Россия,Тайвань,2-4 news
США,Тайвань,>=10 news
Тайбэя,Тайвань,1 news
Тайвань,Тайваньский пролив,1 news
